ᱥᱟᱱᱛᱟᱲᱤ,English
ᱟᱜᱟᱢᱮᱱᱚᱱ,Agamenón
ᱟᱜᱟᱯᱮᱴᱚ,Agapeto
ᱟᱜᱟᱯᱤᱭᱚ,Agapio
ᱟᱜᱟᱯᱤᱴᱚ,Agapito
ᱟᱜᱟᱴᱚᱱ,Agatón
ᱟᱜᱮᱱᱚᱨ,Agenor
ᱟᱜᱮᱭᱚ,Ageo
ᱟᱹᱜᱤᱞᱵᱮᱨᱴᱚ,Agilberto
ᱟᱹᱜᱚᱥᱴᱤᱱᱚ,Agostino
ᱟᱹᱜᱽᱨᱤᱯᱤᱱᱚ,Agripino
ᱚᱜᱚᱥᱴᱤᱱ,Agustin
ᱚᱜᱚᱥᱴᱤᱱ,Agustín
ᱟᱹᱜᱩᱥᱴᱤᱱ,Agustín
ᱚᱜᱩᱥᱴᱤᱱ,Agusttin
ᱟᱹᱦᱢᱟᱹᱫ,Ahmad
ᱟᱹᱦᱢᱮᱫ,Ahmed
ᱮᱭᱠᱟᱨᱰᱚ,Aicardo
ᱮᱭᱰᱟᱱ,Aidan
ᱮᱭᱰᱟᱱᱚ,Aidano
ᱮᱭᱰᱮᱱ,Aiden
ᱮᱭᱠᱣᱮ,Aikué
ᱮᱭᱢᱮ,Aimé
ᱮᱭᱢᱚᱱ,Aimón
ᱮᱭᱱᱜᱮᱨᱩ,Aingeru
ᱮᱭᱛᱚᱨ,Aitor
ᱟᱡᱢᱮᱴ,Ajmet
ᱟᱠᱷᱮᱱᱟᱴᱮᱱ,Akhenaten
ᱟᱹᱠᱤᱨᱚ,Akiro
ᱟᱠᱡᱟᱱ,Akzam
ᱟᱞ,Al
ᱚᱞ,Al
ᱟᱞᱟᱫᱤᱱᱚ,Aladino
ᱟᱞᱟᱤᱱ,Alain
ᱟᱞᱟᱱ,Alan
ᱮᱞᱟᱱ,Alan
ᱟᱞᱟᱱᱚ,Alano
ᱟᱞᱟᱚᱨ,Alaor
ᱟᱞᱟᱨᱤᱠᱚ,Alarico
ᱟᱞᱟᱥᱰᱟᱭᱮᱨ,Alasdair
ᱟᱞᱟᱥᱴᱟᱭᱟᱹᱨ,Alastair
ᱟᱞᱵᱟᱱ,Albán
ᱟᱞᱵᱟᱱᱚ,Albano
ᱟᱞᱵᱟᱨ,Albar
ᱟᱞᱵᱟᱨᱴᱚ,Albaro
ᱟᱞᱵᱮᱨᱤᱠᱚ,Alberico
ᱟᱹᱞᱵᱟᱹᱨᱴ,Albert
ᱚᱞᱵᱚᱴ,Albert
ᱮᱞᱵᱚᱴ,Albert
ᱮᱞᱵᱚᱨᱴ,Albert
ᱟᱹᱞᱵᱟᱹᱨᱴᱷ,Albert
ᱟᱹᱞᱵᱟᱹᱨᱴ,Alberto
ᱟᱹᱞᱵᱤᱠᱚ,Albicio
ᱟᱹᱞᱵᱤᱰᱚ,Albido
ᱟᱞᱵᱤᱱ,Albin
ᱟᱹᱞᱵᱽᱨᱮᱪᱴ,Albrecht
ᱟᱞᱵᱩᱥ,Albus
ᱟᱞᱥᱤ,Alcee
ᱟᱞᱥᱤᱭᱚ,Alceo
ᱟᱞᱥᱤᱵᱤᱭᱟᱰᱮᱥ,Alcibíades
ᱟᱞᱥᱤᱵᱤᱭᱟᱰᱮᱥ,Alcibiades
ᱟᱞᱥᱤᱰᱮᱥ,Alcides
ᱟᱞᱠᱣᱤᱱᱚ,Alcuino
ᱟᱹᱞᱰᱟᱭᱟᱹᱨ,Aldair
ᱟᱞᱰᱮᱵᱟᱨ,Aldebar
ᱟᱞᱰᱮᱢᱟᱨ,Aldemar
ᱟᱞᱰᱮᱱ,Alden
ᱟᱞᱰᱮᱨᱤᱠᱚ,Alderico
ᱟᱞᱰᱚ,Aldo
ᱟᱞᱰᱚᱣᱩᱥ,Aldous
ᱟᱞᱮ,Ale
ᱟᱞᱮᱟᱨᱰᱚ,Aleardo
ᱟᱞᱮᱠ,Alec
ᱟᱞᱮᱰ,Aled
ᱟᱞᱮᱥᱴᱟᱹᱨ,Aleister
ᱟᱞᱮᱡᱟᱱᱰᱨᱤᱱᱚ,Alejandrino
ᱟᱞᱮᱡᱟᱱᱰᱨᱚ,Alejandro
ᱟᱞᱮᱡᱟᱱᱰᱨᱚ,Alejandro
ᱟᱞᱮᱡᱚ,Alejo
ᱟᱞᱮᱠ,Alek
ᱟᱞᱮᱠᱥᱟᱱᱰᱮᱨ,Aleksandr
ᱚᱞᱮᱱ,Alen
ᱟᱞᱮᱯᱤᱭᱚ,Alepio
ᱟᱞᱮᱥᱤᱭᱚ,Alesio
ᱟᱞᱮᱥᱤᱥ,Alesis
ᱟᱞᱮᱥᱟᱱᱰᱨᱚ,Alessandro
ᱟᱞᱮᱠᱥ,Alex
ᱟᱞᱮᱠᱥ,Álex
ᱟᱞᱮᱠᱥ,Àlex
ᱟᱞᱮᱠᱥᱟᱱᱰᱟᱹᱨ,Alexander
ᱮᱞᱮᱠᱡᱟᱱᱰᱟᱹᱨ,Alexander
ᱮᱞᱮᱠᱡᱟᱱᱰᱚᱨ,Alexander
ᱟᱞᱮᱠᱡᱟᱱᱰᱚᱨ,Alexander
ᱟᱞᱮᱠᱥᱟᱱᱰᱟᱹᱨ,Alexandr
ᱟᱞᱮᱠᱥᱟᱱᱰᱨᱮ,Alexandre
ᱮᱞᱮᱠᱥᱟᱱᱰᱨᱮ,Alexandre
ᱟᱞᱮᱠᱥᱟᱱᱰᱨᱮᱚ,Alexandro
ᱟᱞᱮᱠᱥᱟᱱᱰᱨᱮᱚᱥ,Alexandros
ᱟᱞᱮᱠᱥᱤ,Alexei
ᱟᱞᱮᱠᱥᱭ,Alexey
ᱟᱞᱮᱠᱥᱤᱭᱚ,Alexio
ᱟᱞᱮᱠᱥᱤᱭᱚᱥ,Alexios
ᱟᱞᱮᱠᱥᱤᱥ,Alexis
ᱟᱞᱮᱠᱥᱟᱱᱰᱟᱹᱨ,Alexzander
ᱟᱞᱯᱷᱤᱭᱚ,Alfeo
ᱟᱞᱯᱷᱤ,Alfi
ᱟᱞᱯᱷᱤ,Alfie
ᱟᱞᱯᱷᱤᱭᱚ,Alfio
ᱟᱞᱯᱷᱚᱱᱥ,Alfons
ᱟᱞᱯᱷᱚᱱᱥᱚ,Alfonso
ᱟᱞᱯᱷᱨᱮᱰ,Alfred
ᱟᱞᱯᱷᱨᱮᱰᱚ,Alfredo
ᱟᱞᱦᱟᱡᱟᱱ,Alhazen
ᱟᱞᱤ,Ali
ᱟᱹᱞᱤ,Alí
ᱟᱞᱤᱭᱟᱠᱥᱟᱱᱰᱨᱚ,Aliaksandr
ᱟᱞᱤᱭᱟᱱᱚᱨᱮ,Alianore
ᱟᱞᱤᱵᱟᱹᱨᱴᱚ,Aliberto
ᱟᱹᱞᱤᱡᱟᱱ,Alijah
ᱟᱞᱤᱭᱚ,Alio
ᱟᱞᱤᱯᱚ,Alipio
ᱟᱞᱤᱥᱴᱟᱨ,Alistair
ᱟᱞᱠᱚᱥ,Alkos
ᱟᱞᱟᱦ,Allah
ᱟᱞᱟᱱ,Allan
ᱟᱞᱮᱱ,Allen
ᱟᱹᱞᱨᱮᱰ,Allred
ᱟᱞᱢᱟᱱᱰᱚ,Almando
ᱟᱞᱢᱟᱱᱰᱚᱥ,Almandos
ᱟᱹᱞᱢᱟᱨ,Almar
ᱟᱹᱞᱚᱢᱤᱭᱟᱥ,Alomías
ᱟᱞᱚᱱᱥᱚ,Alonso
ᱟᱞᱚᱱᱡᱚ,Alonzo
ᱟᱞᱚᱨ,Alor
ᱟᱞᱚᱥᱱᱚᱥ,Alosnos
ᱟᱞᱯᱷᱚᱱᱥᱮ,Alphonse
ᱟᱞᱯᱷᱚᱱᱥ,Alphonse
ᱟᱞᱯᱷᱚᱱᱥᱚ,Alphonso
ᱟᱞᱯᱤᱱᱤᱟᱱᱚ,Alpiniano
ᱟᱞᱨᱮᱠᱩᱨ,Alrekur
ᱟᱞᱩᱥᱤᱭᱚ,Alucio
ᱟᱞᱩᱱ,Alun
ᱟᱞᱣᱟᱨ,Alvar
ᱟᱞᱣᱟᱨᱚ,Alvaro
ᱟᱹᱞᱣᱟᱨᱚ,Álvaro
ᱟᱞᱣᱤᱱ,Alvin
ᱟᱹᱞᱣᱤᱱᱚ,Alvino
ᱟᱞᱣᱤᱥ,Alvis
ᱟᱢᱟᱰᱤᱭᱚ,Amadeo
ᱟᱢᱟᱰᱤᱭᱚᱥ,Amadeus
ᱟᱢᱟᱰᱤᱥ,Amadis
ᱟᱢᱟᱰᱚ,Amado
ᱟᱢᱟᱰᱚᱨ,Amador
ᱟᱢᱟᱮᱞ,Amael
ᱟᱢᱟᱞ,Amal
ᱟᱢᱟᱞᱤᱭᱚ,Amalio
ᱟᱢᱟᱱᱥᱤᱭᱚ,Amancio
ᱟᱢᱟᱱᱰᱤᱭᱚ,Amandio
ᱟᱢᱟᱱᱰᱚ,Amando
ᱟᱢᱟᱱᱳ,Amano
ᱟᱢᱟᱱᱩᱞᱟᱦ,Amanullah
ᱟᱢᱟᱨᱤ,Amari
ᱟᱢᱟᱨᱤᱭᱚᱱ,Amarion
ᱟᱢᱟᱨᱚ,Amaro
ᱟᱢᱟᱩᱜᱮᱨ,Amauger
ᱟᱢᱟᱣᱨᱤ,Amauri
ᱟᱢᱟᱥ,Amash
ᱟᱢᱵᱽᱨᱚᱤᱥ,Ambroise
ᱟᱢᱵᱽᱨᱚᱥ,Ambrose
ᱟᱢᱵᱽᱨᱚᱥᱤᱭᱚ,Ambrosio
ᱟᱢᱵᱨᱚᱥᱤᱭᱚᱥ,Ambrosius
ᱟᱢᱮᱞᱤᱭᱚ,Amelio
ᱟᱢᱮᱱ,Amén
ᱟᱢᱮᱨᱤᱭᱚ,Américo
ᱟᱢᱤ,Ami
ᱟᱢᱤᱭᱮᱞ,Amiel
ᱟᱢᱤᱞᱠᱟᱨ,Amílcar
ᱟᱢᱤᱱ,Amín
ᱟᱢᱤᱨ,Amir
ᱟᱹᱢᱤᱭᱟᱱᱩᱥ,Ammianus
ᱟᱹᱢᱤᱭᱮᱞ,Ammiel
ᱟᱹᱢᱚᱱᱤᱭᱩᱥ,Ammonius
ᱟᱹᱢᱚᱰᱮᱭ,Amodei
ᱟᱹᱢᱚᱱ,Amón
ᱟᱹᱢᱚᱥ,Amós
ᱟᱹᱢᱨᱟᱱᱛᱚ,Amranto
ᱟᱹᱢᱨᱩ,Amru
ᱟᱱᱟᱠᱟᱨᱤᱭᱚ,Anacario
ᱟᱱᱟᱠᱞᱮᱴᱚ,Anacleto
ᱟᱱᱟᱮᱞ,Anael
ᱟᱱᱟᱱᱤᱥ,Ananías
ᱟᱱᱟᱥᱴᱟᱥᱤᱭᱚ,Anastasio
ᱟᱱᱟᱴᱟᱞᱚᱱ,Anatalón
ᱟᱱᱟᱴᱚᱞᱤ,Anatoli
ᱟᱱᱟᱴᱚᱞᱤᱭᱚ,Anatolio
ᱟᱱᱟᱴᱚᱞᱭ,Anatoly
ᱟᱱᱟᱠᱥᱤᱢᱟᱱᱰᱮᱨ,Anaximander
ᱟᱱᱰᱮᱨ,Ander
ᱟᱱᱰᱟᱹᱨᱥᱚᱱ,Anderson
ᱟᱱᱰᱮᱥ,Andes
ᱟᱱᱰᱚᱠᱣᱤᱭᱚ,Andoquio
ᱟᱱᱰᱨᱮ,Andre
ᱟᱱᱰᱨᱤ,André
ᱟᱱᱰᱨᱤᱭᱟᱥ,Andreas
ᱟᱱᱰᱨᱮᱭ,Andrei
ᱟᱱᱰᱨᱮᱥ,Andres
ᱟᱱᱰᱨᱮᱥ,Andrés
ᱟᱱᱰᱨᱤᱣ,Andreu
ᱟᱱᱰᱨᱤᱣ,Andrew
ᱟᱱᱰᱨᱚᱥᱤᱮᱥ,Andrócies
ᱟᱱᱰᱨᱚᱞᱚ,Androlo
ᱟᱱᱰᱨᱚᱱᱤᱠᱚᱥ,Andrónico
ᱟᱱᱰᱨᱚᱱᱤᱠᱚᱥ,Andronikos
ᱟᱱᱰᱨᱮᱡᱽ,Andrzej
ᱮᱱᱰᱭ,Andy
ᱟᱹᱝ,Ang
ᱮᱧᱡᱮᱞ,Angel
ᱮᱧᱡᱮᱞ,Ángel
ᱮᱧᱡᱮᱞ,Àngel
ᱮᱧᱡᱮᱞᱤᱱᱚ,Angelino
ᱮᱧᱡᱮᱞᱚ,Angelo
ᱮᱱᱜᱤᱞᱵᱟᱹᱨᱴᱚ,Angilberto
ᱟᱱᱜᱩᱥ,Angus
ᱟᱹᱱᱤᱭᱟᱱᱚ,Aniano
ᱟᱹᱱᱤᱵᱟᱞ,Aníbal
ᱟᱱᱤᱠᱟᱨ,Anícar
ᱟᱱᱤᱥᱮᱴᱚ,Aniceto
ᱟᱱᱤᱥ,Anís
ᱟᱱᱤᱥᱤᱭᱚ,Anisio
ᱟᱧᱡᱮ,Anje
ᱟᱱᱚᱞᱯᱷᱚ,Anolfo
ᱟᱱᱥᱟᱞᱰᱚ,Ansaldo
ᱟᱱᱥᱮᱞ,Ansel
ᱟᱱᱥᱮᱞ,Ansell
ᱟᱱᱥᱮᱞᱢ,Anselm
ᱟᱱᱥᱮᱞᱢᱮ,Anselme
ᱟᱱᱥᱮᱞᱢᱚ,Anselmo
ᱟᱱᱴᱟᱨᱮᱥ,Antares
ᱟᱱᱴᱮ,Ante
ᱟᱱᱴᱮᱞᱢᱚ,Antelmo
ᱟᱱᱴᱮᱱᱚᱨ,Antenor
ᱟᱱᱴᱮᱨᱚ,Antero
ᱟᱱᱛᱷᱚᱱᱭ,Anthony
ᱟᱱᱴᱤᱜᱚᱱᱚᱥ,Antigonus
ᱟᱱᱴᱚᱱᱤ,Antoine
ᱟᱱᱴᱚᱞᱤᱭᱟᱱᱚ,Antoliano
ᱟᱱᱴᱚᱞᱤᱱ,Antolín
ᱟᱱᱴᱚᱱ,Anton
ᱟᱱᱴᱚᱱ,Antón
ᱟᱱᱴᱚᱱᱤ,Antoni
ᱟᱱᱴᱚᱱᱤᱱ,Antonin
ᱟᱱᱴᱚᱱᱤᱱᱚ,Antoninus
ᱟᱱᱴᱚᱱᱤᱱᱚ,Antonio
ᱟᱱᱴᱚᱱᱤᱱᱚ,António
ᱟᱹᱱᱴᱚᱱᱤᱭᱚᱥ,Antonius
ᱟᱱᱴᱚᱱᱭ,Antony
ᱟᱱᱴᱚᱱ,Antton
ᱟᱱᱴᱩ,Antu
ᱟᱱᱴᱩᱞᱤᱭᱚ,Antulio
ᱟᱱᱴᱣᱟᱱ,Antwan
ᱟᱹᱱᱩᱣᱟᱨ,Anuar
ᱟᱹᱱᱩᱵᱤᱥ,Anubis
ᱟᱹᱱᱥᱚ,Anxo
ᱟᱹᱣᱥᱴᱮᱱ,Aousten
ᱟᱹᱯᱟᱨᱤᱥᱤᱭᱚ,Aparicio
ᱟᱹᱯᱮᱞᱮᱥ,Apeles
ᱟᱹᱯᱚᱞᱤᱱᱟᱨ,Apolinar
ᱟᱹᱯᱚᱞᱤᱱᱟᱨᱤᱭᱚ,Apolinario
ᱟᱹᱯᱚᱞᱤᱱᱟᱨᱤᱭᱮ,Apollinaire
ᱟᱹᱯᱚᱞᱚ,Apollo
ᱟᱹᱯᱚᱞᱚᱱᱤᱭᱚᱥ,Apollonius
ᱟᱹᱯᱚᱞᱚ,Apolo
ᱟᱹᱯᱚᱞᱚᱰᱚᱨᱚ,Apolodoro
ᱟᱹᱯᱚᱞᱚᱱᱤᱭᱚ,Apolonio
ᱟᱹᱠᱣᱤᱞᱮᱥ,Aquiles
ᱟᱹᱠᱣᱤᱞᱤᱱᱚ,Aquilino
ᱟᱨᱟᱰᱚᱨ,Arador
ᱟᱨᱜᱩᱥ,Argus
ᱟᱨᱟᱢ,Aram
ᱟᱨᱟᱢᱤᱥ,Aramis
ᱟᱨᱟᱚᱱ,Araón
"n=""ant""/",Arcadi
ᱟᱨᱠᱟᱰᱤᱭᱚ,Arcadio
ᱟᱨᱠᱟᱱᱜᱮᱞ,Arcángel
ᱟᱨᱥᱮᱞᱤᱭᱚ,Arcelio
ᱟᱨᱪᱟᱠ,Archak
ᱟᱨᱪᱮᱨ,Archer
ᱟᱨᱪᱤᱵᱟᱞᱰ,Archibald
ᱟᱨᱪᱷᱤᱵᱟᱞᱰᱚ,Archibaldo
ᱟᱨᱪᱷᱤᱭᱮ,Archie
ᱟᱨᱪᱷᱤᱢᱵᱟᱩᱰ,Archimbaud
ᱟᱨᱠᱤᱢᱮᱰᱤᱥ,Archimedes
ᱟᱨᱮᱥ,Ares
ᱟᱨᱮᱴᱟᱥ,Aretas
ᱟᱨᱜᱮᱞᱤᱭᱚ,Argelio
ᱟᱨᱜᱤᱭᱚ,Argeo
ᱟᱨᱜᱤᱢᱤᱨᱚ,Argimiro
ᱟᱨᱜᱚᱥ,Argos
ᱟᱨᱤ,Ari
ᱟᱨᱤᱭᱟᱱ,Arian
ᱟᱨᱤᱭᱟᱱᱚ,Ariano
ᱟᱨᱤᱥᱮᱞ,Aricel
ᱮᱨᱤᱭᱮᱞ,Ariel
ᱟᱨᱤᱭᱚ,Ario
ᱮᱨᱤᱭᱚᱱ,Arión
ᱟᱨᱤᱥᱯᱤᱰᱤᱥ,Arispidis
ᱟᱨᱤᱥᱴᱟᱨᱠᱚ,Aristarco
ᱟᱨᱤᱥᱴᱤᱭᱚ,Aristeo
ᱟᱨᱤᱥᱴᱤᱰ,Aristide
ᱟᱨᱤᱥᱴᱤᱰᱮᱥ,Arístides
ᱟᱨᱤᱥᱴᱤᱭᱚᱱ,Aristión
ᱟᱨᱤᱥᱴᱚᱵᱩᱞᱚ,Aristóbulo
ᱟᱨᱤᱥᱴᱚᱠᱞᱮᱥ,Aristócles
ᱟᱨᱤᱥᱴᱚᱠᱞᱮᱥ,Aristocles
ᱟᱨᱤᱥᱴᱚᱯᱷᱟᱱᱥ,Aristófanes
ᱟᱨᱤᱥᱴᱚᱯᱷᱟᱱᱤᱥ,Aristófanis
ᱟᱨᱤᱥᱴᱚᱱ,Aristón
ᱟᱨᱤᱥᱴᱚᱯᱷᱟᱱᱥ,Aristophanes
ᱟᱨᱤᱥᱴᱚᱴᱮᱞᱥ,Aristóteles
ᱟᱨᱤᱥᱴᱚᱴᱟᱹᱞ,Aristotle
ᱟᱨᱡᱟᱱ,Arjan
ᱟᱹᱨᱡᱩᱱ,Arjun
ᱟᱹᱨᱡᱩᱱᱟ,Arjuna
ᱟᱹᱨᱞᱩᱣᱤᱱ,Arluin
ᱟᱨᱢᱟᱱᱰᱩ,Armando
ᱟᱨᱢᱟᱱᱤ,Armani
ᱟᱨᱢᱮᱞᱤᱭᱚ,Armelio
ᱟᱨᱢᱮᱱᱜᱚᱞ,Armengol
ᱟᱨᱢᱮᱱᱴᱟᱹᱨᱤᱭᱚ,Armentario
ᱟᱨᱢᱤᱬ,Armín
ᱟᱨᱡᱤᱱᱰᱚ,Armindo
ᱟᱨᱢᱤᱱᱤᱭᱩᱥ,Arminius
ᱟᱨᱢᱤᱱᱴᱟᱨᱤᱭᱚ,Armintario
ᱟᱨᱱᱟᱞᱰ,Arnald
ᱟᱨᱱᱟᱞᱰᱚ,Arnaldo
ᱟᱨᱱᱟᱩᱰ,Arnaud
ᱟᱨᱱᱜᱮᱭᱨ,Arngeir
ᱟᱨᱱᱜᱽᱨᱤᱢᱩᱨ,Arngrímur
ᱟᱨᱱᱤ,Árni
ᱟᱨᱱᱞᱮᱭᱯᱷᱩᱨ,Arnleifur
ᱟᱨᱱᱚᱰᱩᱨ,Arnoddur
ᱟᱨᱱᱚᱞᱰ,Arnold
ᱟᱨᱱᱚᱞᱰᱚ,Arnoldo
ᱟᱨᱱᱩᱞᱯᱷ,Arnulf
ᱟᱨᱱᱩᱞᱯᱷᱚ,Arnulfo
ᱟᱨᱱᱚᱞᱰ,Aroldo
ᱟᱨᱚᱱ,Aron
ᱟᱨᱚᱱ,Arón
ᱟᱨᱠᱣᱤᱢᱵᱟᱞᱰᱚ,Arquimbaldo
ᱟᱨᱠᱣᱤᱢᱤᱰᱮᱥ,Arquímides
ᱟᱨᱟᱱ,Arran
ᱟᱨᱤᱝᱴᱚᱱ,Arrington
ᱟᱨᱚᱞᱰᱚ,Arroldo
ᱟᱨᱚᱱ,Arron
ᱟᱨᱥᱟᱠᱤᱭᱚ,Arsacio
ᱟᱨᱥᱤᱱᱤᱭᱚ,Arsenio
ᱟᱨᱥᱞᱮᱱ,Arslan
ᱟᱨᱴᱟᱞᱰᱚ,Artaldo
ᱟᱨᱴᱟᱠᱥᱟᱹᱨᱥᱮᱥ,Artaxerxes
ᱟᱨᱴᱮᱢᱤᱭᱚ,Artemio
ᱟᱨᱴᱮᱱᱤᱭᱚ,Artenio
ᱟᱨᱛᱷᱩᱨ,Arthur
ᱟᱨᱛᱷᱩᱨ,Artur
ᱟᱨᱛᱩᱨᱚ,Arturo
ᱟᱨᱣᱤᱰ,Arvid
ᱟᱨᱣᱮᱞ,Arwel
ᱟᱨᱭ,Ary
ᱟᱨᱭᱟᱱ,Aryan
ᱟᱥᱟ,Asa
ᱟᱥᱟᱰ,Asad
ᱟᱥᱟᱹᱯᱷ,Asaf
ᱟᱥᱟᱢᱚᱣᱟ,Asamoa
ᱟᱥᱵᱡᱚᱨᱱ,Asbjörn
ᱟᱥᱵᱡᱚᱨᱱ,Ásbjörn
ᱟᱥᱫᱽᱨᱩᱵᱟᱞ,Asdrubal
ᱟᱥᱫᱽᱨᱩᱵᱟᱞ,Asdrúbal
ᱟᱥᱮᱨ,Aser
