ᱥᱟᱱᱛᱟᱲᱤ,English
Alceo,ᱟᱞᱥᱤᱭᱚ
Alcibíades,ᱟᱞᱥᱤᱵᱤᱭᱟᱰᱮᱥ
Alcibiades,ᱟᱞᱥᱤᱵᱤᱭᱟᱰᱮᱥ
Alcides,ᱟᱞᱥᱤᱰᱮᱥ
Alcuino,ᱟᱞᱠᱣᱤᱱᱚ
Aldair,ᱟᱹᱞᱰᱟᱭᱟᱹᱨ
Aldebar,ᱟᱞᱰᱮᱵᱟᱨ
Aldemar,ᱟᱞᱰᱮᱢᱟᱨ
Alden,ᱟᱞᱰᱮᱱ
Alderico,ᱟᱞᱰᱮᱨᱤᱠᱚ
Aldo,ᱟᱞᱰᱚ
Aldous,ᱟᱞᱰᱚᱣᱩᱥ
Ale,ᱟᱞᱮ
Aleardo,ᱟᱞᱮᱟᱨᱰᱚ
Alec,ᱟᱞᱮᱠ
Aled,ᱟᱞᱮᱰ
Aleister,ᱟᱞᱮᱥᱴᱟᱹᱨ
Alejandrino,ᱟᱞᱮᱡᱟᱱᱰᱨᱤᱱᱚ
Alejandro,ᱟᱞᱮᱡᱟᱱᱰᱨᱚ
Alejandro,ᱟᱞᱮᱡᱟᱱᱰᱨᱚ
Alejo,ᱟᱞᱮᱡᱚ
Alek,ᱟᱞᱮᱠ
Aleksandr,ᱟᱞᱮᱠᱥᱟᱱᱰᱮᱨ
Alen,ᱚᱞᱮᱱ
Alepio,ᱟᱞᱮᱯᱤᱭᱚ
Alesio,ᱟᱞᱮᱥᱤᱭᱚ
Alesis,ᱟᱞᱮᱥᱤᱥ
Alessandro,ᱟᱞᱮᱥᱟᱱᱰᱨᱚ
Alex,ᱟᱞᱮᱠᱥ
Álex,ᱟᱞᱮᱠᱥ
Àlex,ᱟᱞᱮᱠᱥ
Alexander,ᱟᱞᱮᱠᱥᱟᱱᱰᱟᱹᱨ
Alexander,ᱮᱞᱮᱠᱡᱟᱱᱰᱟᱹᱨ
Alexander,ᱮᱞᱮᱠᱡᱟᱱᱰᱚᱨ
Alexander,ᱟᱞᱮᱠᱡᱟᱱᱰᱚᱨ
Alexandr,ᱟᱞᱮᱠᱥᱟᱱᱰᱟᱹᱨ
Alexandre,ᱟᱞᱮᱠᱥᱟᱱᱰᱨᱮ
Alexandre,ᱮᱞᱮᱠᱥᱟᱱᱰᱨᱮ
Alexandro,ᱟᱞᱮᱠᱥᱟᱱᱰᱨᱮᱚ
Alexandros,ᱟᱞᱮᱠᱥᱟᱱᱰᱨᱮᱚᱥ
Alexei,ᱟᱞᱮᱠᱥᱤ
Alexey,ᱟᱞᱮᱠᱥᱭ
Alexio,ᱟᱞᱮᱠᱥᱤᱭᱚ
Alexios,ᱟᱞᱮᱠᱥᱤᱭᱚᱥ
Alexis,ᱟᱞᱮᱠᱥᱤᱥ
Alexzander,ᱟᱞᱮᱠᱥᱟᱱᱰᱟᱹᱨ
Alfeo,ᱟᱞᱯᱷᱤᱭᱚ
Alfi,ᱟᱞᱯᱷᱤ
Alfie,ᱟᱞᱯᱷᱤ
Alfio,ᱟᱞᱯᱷᱤᱭᱚ
Alfons,ᱟᱞᱯᱷᱚᱱᱥ
Alfonso,ᱟᱞᱯᱷᱚᱱᱥᱚ
Alfred,ᱟᱞᱯᱷᱨᱮᱰ
Alfredo,ᱟᱞᱯᱷᱨᱮᱰᱚ
Alhazen,ᱟᱞᱦᱟᱡᱟᱱ
Ali,ᱟᱞᱤ
Alí,ᱟᱹᱞᱤ
Aliaksandr,ᱟᱞᱤᱭᱟᱠᱥᱟᱱᱰᱨᱚ
Alianore,ᱟᱞᱤᱭᱟᱱᱚᱨᱮ
Aliberto,ᱟᱞᱤᱵᱟᱹᱨᱴᱚ
Alijah,ᱟᱹᱞᱤᱡᱟᱱ
Alio,ᱟᱞᱤᱭᱚ
Alipio,ᱟᱞᱤᱯᱚ
Alistair,ᱟᱞᱤᱥᱴᱟᱨ
Alkos,ᱟᱞᱠᱚᱥ
Allah,ᱟᱞᱟᱦ
Allan,ᱟᱞᱟᱱ
Allen,ᱟᱞᱮᱱ
Allred,ᱟᱹᱞᱨᱮᱰ
Almando,ᱟᱞᱢᱟᱱᱰᱚ
Almandos,ᱟᱞᱢᱟᱱᱰᱚᱥ
Almar,ᱟᱹᱞᱢᱟᱨ
Alomías,ᱟᱹᱞᱚᱢᱤᱭᱟᱥ
Alonso,ᱟᱞᱚᱱᱥᱚ
Alonzo,ᱟᱞᱚᱱᱡᱚ
Alor,ᱟᱞᱚᱨ
Alosnos,ᱟᱞᱚᱥᱱᱚᱥ
Alphonse,ᱟᱞᱯᱷᱚᱱᱥᱮ
Alphonse,ᱟᱞᱯᱷᱚᱱᱥ
Alphonso,ᱟᱞᱯᱷᱚᱱᱥᱚ
Alpiniano,ᱟᱞᱯᱤᱱᱤᱟᱱᱚ
Alrekur,ᱟᱞᱨᱮᱠᱩᱨ
Alucio,ᱟᱞᱩᱥᱤᱭᱚ
Alun,ᱟᱞᱩᱱ
Alvar,ᱟᱞᱣᱟᱨ
Alvaro,ᱟᱞᱣᱟᱨᱚ
Álvaro,ᱟᱹᱞᱣᱟᱨᱚ
Alvin,ᱟᱞᱣᱤᱱ
Alvino,ᱟᱹᱞᱣᱤᱱᱚ
Alvis,ᱟᱞᱣᱤᱥ
Amadeo,ᱟᱢᱟᱰᱤᱭᱚ
Amadeus,ᱟᱢᱟᱰᱤᱭᱚᱥ
Amadis,ᱟᱢᱟᱰᱤᱥ
Amado,ᱟᱢᱟᱰᱚ
Amador,ᱟᱢᱟᱰᱚᱨ
Amael,ᱟᱢᱟᱮᱞ
Amal,ᱟᱢᱟᱞ
Amalio,ᱟᱢᱟᱞᱤᱭᱚ
Amancio,ᱟᱢᱟᱱᱥᱤᱭᱚ
Amandio,ᱟᱢᱟᱱᱰᱤᱭᱚ
Amando,ᱟᱢᱟᱱᱰᱚ
Amano,ᱟᱢᱟᱱᱳ
Amanullah,ᱟᱢᱟᱱᱩᱞᱟᱦ
Amari,ᱟᱢᱟᱨᱤ
Amarion,ᱟᱢᱟᱨᱤᱭᱚᱱ
Amaro,ᱟᱢᱟᱨᱚ
Amauger,ᱟᱢᱟᱩᱜᱮᱨ
Amauri,ᱟᱢᱟᱣᱨᱤ
Amash,ᱟᱢᱟᱥ
Ambroise,ᱟᱢᱵᱽᱨᱚᱤᱥ
Ambrose,ᱟᱢᱵᱽᱨᱚᱥ
Ambrosio,ᱟᱢᱵᱽᱨᱚᱥᱤᱭᱚ
Ambrosius,ᱟᱢᱵᱨᱚᱥᱤᱭᱚᱥ
Amelio,ᱟᱢᱮᱞᱤᱭᱚ
Amén,ᱟᱢᱮᱱ
Américo,ᱟᱢᱮᱨᱤᱭᱚ
Ami,ᱟᱢᱤ
Amiel,ᱟᱢᱤᱭᱮᱞ
Amílcar,ᱟᱢᱤᱞᱠᱟᱨ
Amín,ᱟᱢᱤᱱ
Amir,ᱟᱢᱤᱨ
Ammianus,ᱟᱹᱢᱤᱭᱟᱱᱩᱥ
Ammiel,ᱟᱹᱢᱤᱭᱮᱞ
Ammonius,ᱟᱹᱢᱚᱱᱤᱭᱩᱥ
Amodei,ᱟᱹᱢᱚᱰᱮᱭ
Amón,ᱟᱹᱢᱚᱱ
Amós,ᱟᱹᱢᱚᱥ
Amranto,ᱟᱹᱢᱨᱟᱱᱛᱚ
Amru,ᱟᱹᱢᱨᱩ
Anacario,ᱟᱱᱟᱠᱟᱨᱤᱭᱚ
Anacleto,ᱟᱱᱟᱠᱞᱮᱴᱚ
Anael,ᱟᱱᱟᱮᱞ
Ananías,ᱟᱱᱟᱱᱤᱥ
Anastasio,ᱟᱱᱟᱥᱴᱟᱥᱤᱭᱚ
Anatalón,ᱟᱱᱟᱴᱟᱞᱚᱱ
Anatoli,ᱟᱱᱟᱴᱚᱞᱤ
Anatolio,ᱟᱱᱟᱴᱚᱞᱤᱭᱚ
Anatoly,ᱟᱱᱟᱴᱚᱞᱭ
Anaximander,ᱟᱱᱟᱠᱥᱤᱢᱟᱱᱰᱮᱨ
Ander,ᱟᱱᱰᱮᱨ
Anderson,ᱟᱱᱰᱟᱹᱨᱥᱚᱱ
Andes,ᱟᱱᱰᱮᱥ
Andoquio,ᱟᱱᱰᱚᱠᱣᱤᱭᱚ
Andre,ᱟᱱᱰᱨᱮ
André,ᱟᱱᱰᱨᱤ
Andreas,ᱟᱱᱰᱨᱤᱭᱟᱥ
Andrei,ᱟᱱᱰᱨᱮᱭ
Andres,ᱟᱱᱰᱨᱮᱥ
Andrés,ᱟᱱᱰᱨᱮᱥ
Andreu,ᱟᱱᱰᱨᱤᱣ
Andrew,ᱟᱱᱰᱨᱤᱣ
Andrócies,ᱟᱱᱰᱨᱚᱥᱤᱮᱥ
Androlo,ᱟᱱᱰᱨᱚᱞᱚ
Andrónico,ᱟᱱᱰᱨᱚᱱᱤᱠᱚᱥ
Andronikos,ᱟᱱᱰᱨᱚᱱᱤᱠᱚᱥ
Andrzej,ᱟᱱᱰᱨᱮᱡᱽ
Andy,ᱮᱱᱰᱭ
Ang,ᱟᱹᱝ
Angel,ᱮᱧᱡᱮᱞ
Ángel,ᱮᱧᱡᱮᱞ
Àngel,ᱮᱧᱡᱮᱞ
Angelino,ᱮᱧᱡᱮᱞᱤᱱᱚ
Angelo,ᱮᱧᱡᱮᱞᱚ
Angilberto,ᱮᱱᱜᱤᱞᱵᱟᱹᱨᱴᱚ
Angus,ᱟᱱᱜᱩᱥ
Aniano,ᱟᱹᱱᱤᱭᱟᱱᱚ
Aníbal,ᱟᱹᱱᱤᱵᱟᱞ
Anícar,ᱟᱱᱤᱠᱟᱨ
Aniceto,ᱟᱱᱤᱥᱮᱴᱚ
Anís,ᱟᱱᱤᱥ
Anisio,ᱟᱱᱤᱥᱤᱭᱚ
Anje,ᱟᱧᱡᱮ
Anolfo,ᱟᱱᱚᱞᱯᱷᱚ
Ansaldo,ᱟᱱᱥᱟᱞᱰᱚ
Ansel,ᱟᱱᱥᱮᱞ
Ansell,ᱟᱱᱥᱮᱞ
Anselm,ᱟᱱᱥᱮᱞᱢ
Anselme,ᱟᱱᱥᱮᱞᱢᱮ
Anselmo,ᱟᱱᱥᱮᱞᱢᱚ
Antares,ᱟᱱᱴᱟᱨᱮᱥ
Ante,ᱟᱱᱴᱮ
Antelmo,ᱟᱱᱴᱮᱞᱢᱚ
Antenor,ᱟᱱᱴᱮᱱᱚᱨ
Antero,ᱟᱱᱴᱮᱨᱚ
Anthony,ᱟᱱᱛᱷᱚᱱᱭ
Antigonus,ᱟᱱᱴᱤᱜᱚᱱᱚᱥ
Antoine,ᱟᱱᱴᱚᱱᱤ
Antoliano,ᱟᱱᱴᱚᱞᱤᱭᱟᱱᱚ
Antolín,ᱟᱱᱴᱚᱞᱤᱱ
Anton,ᱟᱱᱴᱚᱱ
Antón,ᱟᱱᱴᱚᱱ
Antoni,ᱟᱱᱴᱚᱱᱤ
Antonin,ᱟᱱᱴᱚᱱᱤᱱ
Antoninus,ᱟᱱᱴᱚᱱᱤᱱᱚ
Antonio,ᱟᱱᱴᱚᱱᱤᱱᱚ
António,ᱟᱱᱴᱚᱱᱤᱱᱚ
Antonius,ᱟᱹᱱᱴᱚᱱᱤᱭᱚᱥ
Antony,ᱟᱱᱴᱚᱱᱭ
Antton,ᱟᱱᱴᱚᱱ
Antu,ᱟᱱᱴᱩ
Antulio,ᱟᱱᱴᱩᱞᱤᱭᱚ
Antwan,ᱟᱱᱴᱣᱟᱱ
Anuar,ᱟᱹᱱᱩᱣᱟᱨ
Anubis,ᱟᱹᱱᱩᱵᱤᱥ
Anxo,ᱟᱹᱱᱥᱚ
Aousten,ᱟᱹᱣᱥᱴᱮᱱ
Aparicio,ᱟᱹᱯᱟᱨᱤᱥᱤᱭᱚ
Apeles,ᱟᱹᱯᱮᱞᱮᱥ
Apolinar,ᱟᱹᱯᱚᱞᱤᱱᱟᱨ
Apolinario,ᱟᱹᱯᱚᱞᱤᱱᱟᱨᱤᱭᱚ
Apollinaire,ᱟᱹᱯᱚᱞᱤᱱᱟᱨᱤᱭᱮ
Apollo,ᱟᱹᱯᱚᱞᱚ
Apollonius,ᱟᱹᱯᱚᱞᱚᱱᱤᱭᱚᱥ
Apolo,ᱟᱹᱯᱚᱞᱚ
Apolodoro,ᱟᱹᱯᱚᱞᱚᱰᱚᱨᱚ
Apolonio,ᱟᱹᱯᱚᱞᱚᱱᱤᱭᱚ
Aquiles,ᱟᱹᱠᱣᱤᱞᱮᱥ
Aquilino,ᱟᱹᱠᱣᱤᱞᱤᱱᱚ
Arador,ᱟᱨᱟᱰᱚᱨ
Argus,ᱟᱨᱜᱩᱥ
Aram,ᱟᱨᱟᱢ
Aramis,ᱟᱨᱟᱢᱤᱥ
Araón,ᱟᱨᱟᱚᱱ
Arcadi,"n=""ant""/"
Arcadio,ᱟᱨᱠᱟᱰᱤᱭᱚ
Arcángel,ᱟᱨᱠᱟᱱᱜᱮᱞ
Arcelio,ᱟᱨᱥᱮᱞᱤᱭᱚ
Archak,ᱟᱨᱪᱟᱠ
Archer,ᱟᱨᱪᱮᱨ
Archibald,ᱟᱨᱪᱤᱵᱟᱞᱰ
Archibaldo,ᱟᱨᱪᱷᱤᱵᱟᱞᱰᱚ
Archie,ᱟᱨᱪᱷᱤᱭᱮ
Archimbaud,ᱟᱨᱪᱷᱤᱢᱵᱟᱩᱰ
Archimedes,ᱟᱨᱠᱤᱢᱮᱰᱤᱥ
Ares,ᱟᱨᱮᱥ
Aretas,ᱟᱨᱮᱴᱟᱥ
Argelio,ᱟᱨᱜᱮᱞᱤᱭᱚ
Argeo,ᱟᱨᱜᱤᱭᱚ
Argimiro,ᱟᱨᱜᱤᱢᱤᱨᱚ
Argos,ᱟᱨᱜᱚᱥ
Ari,ᱟᱨᱤ
Arian,ᱟᱨᱤᱭᱟᱱ
Ariano,ᱟᱨᱤᱭᱟᱱᱚ
Aricel,ᱟᱨᱤᱥᱮᱞ
Ariel,ᱮᱨᱤᱭᱮᱞ
Ario,ᱟᱨᱤᱭᱚ
Arión,ᱮᱨᱤᱭᱚᱱ
Arispidis,ᱟᱨᱤᱥᱯᱤᱰᱤᱥ
Aristarco,ᱟᱨᱤᱥᱴᱟᱨᱠᱚ
Aristeo,ᱟᱨᱤᱥᱴᱤᱭᱚ
Aristide,ᱟᱨᱤᱥᱴᱤᱰ
Arístides,ᱟᱨᱤᱥᱴᱤᱰᱮᱥ
Aristión,ᱟᱨᱤᱥᱴᱤᱭᱚᱱ
Aristóbulo,ᱟᱨᱤᱥᱴᱚᱵᱩᱞᱚ
Aristócles,ᱟᱨᱤᱥᱴᱚᱠᱞᱮᱥ
Aristocles,ᱟᱨᱤᱥᱴᱚᱠᱞᱮᱥ
Aristófanes,ᱟᱨᱤᱥᱴᱚᱯᱷᱟᱱᱥ
Aristófanis,ᱟᱨᱤᱥᱴᱚᱯᱷᱟᱱᱤᱥ
Aristón,ᱟᱨᱤᱥᱴᱚᱱ
Aristophanes,ᱟᱨᱤᱥᱴᱚᱯᱷᱟᱱᱥ
Aristóteles,ᱟᱨᱤᱥᱴᱚᱴᱮᱞᱥ
Aristotle,ᱟᱨᱤᱥᱴᱚᱴᱟᱹᱞ
Arjan,ᱟᱨᱡᱟᱱ
Arjun,ᱟᱹᱨᱡᱩᱱ
Arjuna,ᱟᱹᱨᱡᱩᱱᱟ
Arluin,ᱟᱹᱨᱞᱩᱣᱤᱱ
Armando,ᱟᱨᱢᱟᱱᱰᱩ
Armani,ᱟᱨᱢᱟᱱᱤ
Armelio,ᱟᱨᱢᱮᱞᱤᱭᱚ
Armengol,ᱟᱨᱢᱮᱱᱜᱚᱞ
Armentario,ᱟᱨᱢᱮᱱᱴᱟᱹᱨᱤᱭᱚ
Armín,ᱟᱨᱢᱤᱬ
Armindo,ᱟᱨᱡᱤᱱᱰᱚ
Arminius,ᱟᱨᱢᱤᱱᱤᱭᱩᱥ
Armintario,ᱟᱨᱢᱤᱱᱴᱟᱨᱤᱭᱚ
Arnald,ᱟᱨᱱᱟᱞᱰ
Arnaldo,ᱟᱨᱱᱟᱞᱰᱚ
Arnaud,ᱟᱨᱱᱟᱩᱰ
Arngeir,ᱟᱨᱱᱜᱮᱭᱨ
Arngrímur,ᱟᱨᱱᱜᱽᱨᱤᱢᱩᱨ
Árni,ᱟᱨᱱᱤ
Arnleifur,ᱟᱨᱱᱞᱮᱭᱯᱷᱩᱨ
Arnoddur,ᱟᱨᱱᱚᱰᱩᱨ
Arnold,ᱟᱨᱱᱚᱞᱰ
Arnoldo,ᱟᱨᱱᱚᱞᱰᱚ
Arnulf,ᱟᱨᱱᱩᱞᱯᱷ
Arnulfo,ᱟᱨᱱᱩᱞᱯᱷᱚ
Aroldo,ᱟᱨᱱᱚᱞᱰ
Aron,ᱟᱨᱚᱱ
Arón,ᱟᱨᱚᱱ
Arquimbaldo,ᱟᱨᱠᱣᱤᱢᱵᱟᱞᱰᱚ
Arquímides,ᱟᱨᱠᱣᱤᱢᱤᱰᱮᱥ
Arran,ᱟᱨᱟᱱ
Arrington,ᱟᱨᱤᱝᱴᱚᱱ
Arroldo,ᱟᱨᱚᱞᱰᱚ
Arron,ᱟᱨᱚᱱ
Arsacio,ᱟᱨᱥᱟᱠᱤᱭᱚ
Arsenio,ᱟᱨᱥᱤᱱᱤᱭᱚ
Arslan,ᱟᱨᱥᱞᱮᱱ
Artaldo,ᱟᱨᱴᱟᱞᱰᱚ
Artaxerxes,ᱟᱨᱴᱟᱠᱥᱟᱹᱨᱥᱮᱥ
Artemio,ᱟᱨᱴᱮᱢᱤᱭᱚ
Artenio,ᱟᱨᱴᱮᱱᱤᱭᱚ
Arthur,ᱟᱨᱛᱷᱩᱨ
Artur,ᱟᱨᱛᱷᱩᱨ
Arturo,ᱟᱨᱛᱩᱨᱚ
Arvid,ᱟᱨᱣᱤᱰ
Arwel,ᱟᱨᱣᱮᱞ
Ary,ᱟᱨᱭ
Aryan,ᱟᱨᱭᱟᱱ
Asa,ᱟᱥᱟ
Asad,ᱟᱥᱟᱰ
Asaf,ᱟᱥᱟᱹᱯᱷ
Asamoa,ᱟᱥᱟᱢᱚᱣᱟ
Asbjörn,ᱟᱥᱵᱡᱚᱨᱱ
Ásbjörn,ᱟᱥᱵᱡᱚᱨᱱ
Asdrubal,ᱟᱥᱫᱽᱨᱩᱵᱟᱞ
Asdrúbal,ᱟᱥᱫᱽᱨᱩᱵᱟᱞ
Aser,ᱟᱥᱮᱨ
