My name is Sagun. ᱤᱧᱟᱜ ᱧᱩᱛᱩᱢ ᱫᱚ ᱥᱟᱹᱜᱩᱱ ᱠᱟᱱᱟ ᱾
Your name is Sagun. ᱟᱢᱟᱜ ᱧᱩᱛᱩᱢ ᱫᱚ ᱥᱟᱹᱜᱩᱱ ᱠᱟᱱᱟ ᱾
Her name is Sagun. ᱩᱱᱤᱭᱟᱜ ᱧᱩᱛᱩᱢ ᱫᱚ ᱥᱟᱹᱜᱩᱱ ᱠᱟᱱᱟ ᱾
His name is Sagun. ᱩᱱᱤᱭᱟᱜ ᱧᱩᱛᱩᱢ ᱫᱚ ᱥᱟᱹᱜᱩᱱ ᱠᱟᱱᱟ ᱾
Time	ᱚᱠᱛᱚ
0	᱐
1	᱑
2	᱒
3	᱓
4	᱔
5	᱕
6	᱖
7	᱗
8	᱘
9	᱙
10	᱑᱐
11	᱑᱑
12	᱑᱒
13	᱑᱓
14	᱑᱔
15	᱑᱕
16	᱑᱖
17	᱑᱗
18	᱑᱘
19	᱑᱙
20	᱒᱐
21	᱒᱑
22	᱒᱒
23	᱒᱓
24	᱒᱔
25	᱒᱕
26	᱒᱖
27	᱒᱗
28	᱒᱘
29	᱒᱙
30	᱓᱐
31	᱓᱑
32	᱓᱒
33	᱓᱓
34	᱓᱔
35	᱓᱕
36	᱓᱖
37	᱓᱗
38	᱓᱘
39	᱓᱙
40	᱔᱐
41	᱔᱑
42	᱔᱒
43	᱔᱓
44	᱔᱔
45	᱔᱕
46	᱔᱖
47	᱔᱗
48	᱔᱘
49	᱔᱙
50	᱕᱐
51	᱕᱑
52	᱕᱒
53	᱕᱓
54	᱕᱔
55	᱕᱕
56	᱕᱖
57	᱕᱗
58	᱕᱘
59	᱕᱙
60	᱖᱐
61	᱖᱑
62	᱖᱒
63	᱖᱓
64	᱖᱔
65	᱖᱕
66	᱖᱖
67	᱖᱗
68	᱖᱘
69	᱖᱙
70	᱗᱐
71	᱗᱑
72	᱗᱒
73	᱗᱓
74	᱗᱔
75	᱗᱕
76	᱗᱖
77	᱗᱗
78	᱗᱘
79	᱗᱙
80	᱘᱐
81	᱘᱑
82	᱘᱒
83	᱘᱓
84	᱘᱔
85	᱘᱕
86	᱘᱖
87	᱘᱗
88	᱘᱘
89	᱘᱙
90	᱙᱐
91	᱙᱑
92	᱙᱒
93	᱙᱓
94	᱙᱔
95	᱙᱕
96	᱙᱖
97	᱙᱗
98	᱙᱘
99	᱙᱙
100	᱑᱐᱐
zero	ᱥᱩᱱᱭᱚ
one	ᱢᱤᱫ
two	ᱵᱟᱨ
three	ᱯᱮ
four	ᱯᱩᱱ
five	ᱢᱚᱸᱬᱮ
six	ᱛᱩᱨᱩᱭ
seven	ᱮᱭᱟᱭ
eight	ᱤᱨᱟ.ᱞ
nine	ᱟᱨᱮᱞ
ten	ᱜᱮᱞ
eleven	ᱜᱮᱞ ᱢᱤᱫ
twelve	ᱜᱮᱞ ᱵᱟᱨ
thirteen	ᱜᱮᱞ ᱯᱮ
fourteen	ᱜᱮᱞ ᱯᱤᱱ
fifteen	ᱜᱮᱞ ᱢᱚᱸᱬᱮ
sixteen	ᱜᱮᱞ ᱛᱩᱨᱩᱭ
seventeen	ᱜᱮᱞ ᱮᱭᱟᱭ
eighteen	ᱜᱮᱞ ᱤᱨᱟ.ᱞ
nineteen	ᱜᱮᱞ ᱟᱨᱮᱞ
twenty	ᱵᱟᱨ ᱜᱮᱞ
twenty one	ᱵᱟᱨ ᱜᱮᱞ ᱢᱤᱫ
twenty two	ᱵᱟᱨ ᱜᱮᱞ ᱵᱟᱨ
twenty three	ᱵᱟᱨ ᱜᱮᱞ ᱯᱮ
twenty four	ᱵᱟᱨ ᱜᱮᱞ ᱯᱩᱱ
twenty five	ᱵᱟᱨ ᱜᱮᱞ ᱢᱚᱸᱬᱮ
twenty six	ᱵᱟᱨ ᱜᱮᱞ ᱛᱩᱨᱩᱭ
twenty seven	ᱵᱟᱨ ᱜᱮᱞ ᱮᱭᱟᱭ
Twenty eight	ᱵᱟᱨ ᱜᱮᱞ ᱤᱨᱟ.ᱞ
twenty nine	ᱵᱟᱨ ᱜᱮᱞ ᱟᱨᱮᱞ
thirty	ᱯᱮ ᱜᱮᱞ
thirty one	ᱯᱮ ᱜᱮᱞ ᱢᱤᱫ
thirty two	ᱯᱮ ᱜᱮᱞ ᱵᱟᱨ
thirty three	ᱯᱮ ᱜᱮᱞ ᱯᱮ
thirty four	ᱯᱮ ᱜᱮᱞ ᱯᱩᱱ
thirty five	ᱯᱮ ᱜᱮᱞ ᱢᱚᱸᱮ
thirty six	ᱯᱮ ᱜᱮᱞ ᱛᱩᱨᱩᱭ
thirty seven	ᱯᱮ ᱜᱮᱞ ᱮᱭᱟᱭ
thirty eight	ᱯᱮ ᱜᱮᱞ ᱤᱨᱟ.ᱞ
thirty nine	ᱯᱮ ᱜᱮᱞ ᱟᱨᱮᱞ
forty	ᱯᱩᱱ ᱜᱮᱞ
forty one	ᱯᱩᱱ ᱜᱮᱞ ᱢᱤᱫ
forty two	ᱯᱩᱱ ᱜᱮᱞ ᱵᱟᱨ
forty three	ᱯᱩᱱ ᱜᱮᱞ ᱯᱮ
forty four	ᱯᱩᱱ ᱜᱮᱞ ᱯᱩᱱ
forty five	ᱯᱩ ᱜᱮᱞ ᱢᱚᱬᱮ
forty six	ᱯᱩᱱ ᱜᱮᱞ ᱛᱩᱨᱩᱭ
forty seven	ᱯᱩᱱ ᱜᱮᱞ ᱮᱭᱟᱭ
forty eight	ᱯᱩᱱ ᱜᱮᱞ ᱤᱨᱟ.ᱞ
forty nine	ᱯᱩᱱ ᱜᱮᱞ ᱟᱨᱮᱞ
fifty	ᱢᱚᱸᱬᱮ ᱜᱮᱞ
fifty one	ᱢᱚᱸᱬᱮ ᱜᱮᱞ ᱢᱤᱫ
fifty two	ᱢᱚᱸᱬᱮ ᱜᱮᱞ ᱵᱟᱨ
fifty three	ᱢᱚᱸᱬᱮ ᱜᱮᱞ ᱯᱮ
fifty four	ᱢᱚᱸᱬᱮ ᱜᱮᱞ ᱯᱩᱱ
fifty five	ᱢᱚᱸᱬᱮ ᱜᱮᱞ ᱢᱚᱸᱬᱮ
fifty six	ᱢᱚᱸᱬᱮ ᱜᱮᱞ ᱛᱩᱨᱩᱭ
fifty seven	ᱢᱚᱸᱬᱮ ᱜᱮᱞ ᱮᱭᱟᱭ
fifty eight	ᱢᱚᱸᱬᱮ ᱜᱮᱞ ᱤᱨᱟ.ᱞ
fifty nine	ᱢᱚᱸᱬᱮ ᱜᱮᱞ ᱟᱨᱮᱞ
sixty	ᱛᱩᱨᱩᱭ ᱜᱮᱞ
sixty one	ᱛᱩᱨᱩᱭ ᱜᱮᱞ ᱢᱤᱫ
sixty two	ᱛᱩᱨᱩᱭ ᱜᱮᱞ ᱵᱟᱨ
sixty three	ᱛᱩᱨᱩᱭ ᱜᱮᱞ ᱯᱮ
sixty four	ᱛᱩᱨᱩᱭ ᱜᱮᱞ ᱯᱩᱱ
sixty five	ᱛᱩᱨᱩᱭ ᱜᱮᱞ ᱢᱚᱸᱬᱮ
sixty six	ᱛᱩᱨᱩᱭ ᱜᱮᱞ ᱛᱩᱨᱩᱭ
sixty seven	ᱛᱩᱨᱩᱭ ᱜᱮᱞ ᱮᱭᱟᱭ
sixty eight	ᱛᱩᱨᱩᱭ ᱜᱮᱞ ᱤᱨᱟ.ᱞ
sixty nine	ᱛᱩᱨᱩᱭ ᱜᱮᱞ ᱟᱨᱮᱞ
seventy	ᱮᱭᱟᱭ ᱜᱮᱞ
seventy one	ᱮᱭᱟᱭ ᱜᱮᱞ ᱢᱤᱫ
seventy two	ᱮᱭᱟᱭ ᱜᱮᱞ ᱵᱟᱨ
seventy three	ᱮᱭᱟᱭ ᱜᱮᱞ ᱯᱮ
seventy four	ᱮᱭᱟᱭ ᱜᱮᱞ ᱯᱩᱱ
seventy five	ᱮᱭᱟᱭ ᱜᱮᱞ ᱢᱚᱸᱬᱮ
seventy six	ᱮᱭᱟᱭ ᱜᱮᱞ ᱛᱩᱨᱩᱭ
seventy seven	ᱮᱭᱟᱭ ᱜᱮᱞ ᱮᱭᱟᱭ
seventy eight	ᱮᱭᱟᱭ ᱜᱮᱞ ᱤᱨᱟ.ᱞ
seventy nine	ᱮᱭᱟᱭ ᱜᱮᱞ ᱟᱨᱮᱞ
eighty	ᱮᱨᱟ.ᱞ ᱜᱮᱞ
eighty one	ᱮᱨᱟ.ᱞ ᱜᱮᱞ ᱢᱤᱫ
eighty two	ᱮᱨᱟ.ᱞ ᱜᱮᱞ ᱵᱟᱨ
eighty three	ᱮᱨᱟ.ᱞ ᱜᱮᱞ ᱯᱮ
eighty four	ᱮᱨᱟ.ᱞ ᱜᱮᱞ ᱯᱩᱱ
eighty five	ᱮᱨᱟ.ᱞ ᱜᱮᱞ ᱢᱚᱸᱬᱮ
eighty six	ᱮᱨᱟ.ᱞ ᱜᱮᱞ ᱛᱩᱨᱩᱭ
eighty seven	ᱮᱨᱟ.ᱞ ᱜᱮᱞ ᱮᱭᱟᱭ
eighty eight	ᱮᱨᱟ.ᱞ ᱜᱮᱞ ᱤᱨᱟ.ᱞ
eighty nine	ᱮᱨᱟ.ᱞ ᱜᱮᱞ ᱟᱨᱮᱞ
ninety	ᱟᱨᱮᱞ ᱜᱮᱞ
ninety one	ᱟᱨᱮᱞ ᱜᱮᱞ ᱢᱤᱫ
ninety two	ᱟᱨᱮᱞ ᱜᱮᱞ ᱵᱟᱨ
ninety three	ᱟᱨᱮᱞ ᱜᱮᱞ ᱯᱮ
ninety four	ᱟᱨᱮᱞ ᱜᱮᱞ ᱯᱩᱱ
ninety five	ᱟᱨᱮᱞ ᱜᱮᱞ ᱢᱚᱸᱬᱮ
ninety six	ᱟᱨᱮᱞ ᱜᱮᱞ ᱛᱩᱨᱩᱭ
ninety seven	ᱟᱨᱮᱞ ᱜᱮᱞ ᱮᱭᱟᱭ
ninety eight	ᱟᱨᱮᱞ ᱜᱮᱞ ᱤᱨᱟ.ᱞ
ninety nine	ᱟᱨᱮᱞ ᱜᱮᱞ ᱟᱨᱮᱞ
one hundred	ᱢᱤᱫ ᱥᱟᱭ
one	ᱢᱤᱫ
ten	ᱜᱮᱞ
hundred	ᱥᱟᱭ
thousand	ᱥᱮᱞᱥᱟᱭ
ten thousand	ᱜᱮᱞᱥᱟᱥᱟᱭ
lac	ᱢᱚᱲᱚᱭ
ten lac	ᱜᱮᱞᱢᱚᱲᱚᱭ
caror	ᱵᱚᱲᱚᱭ
Hair	ᱩᱵᱽ
Head	ᱵᱚᱷᱚᱜ
Skull	ᱠᱷᱟᱯᱨᱤ
Spinal cord	ᱵᱤᱥᱤᱡᱟᱲ
Back of head	ᱛᱚᱛᱠᱟ
Brain	ᱦᱟᱛᱟᱲ, ᱵᱷᱮᱡᱟ
Forehead	ᱢᱚᱞᱚᱝ
Face	ᱢᱚᱲᱟ
Eye	ᱢᱮᱫ
Eyelid	ᱢᱮᱫ ᱠᱩᱴᱤ
Nose	ᱢᱩ
Cheek	ᱛᱷᱚᱛᱱᱟ
Ear	ᱞᱩᱛᱩᱨ
Mouth	ᱢᱚᱪᱟ
Lip	ᱞᱩᱴᱤ
Palate	ᱛᱟ.ᱨᱩ
Tooth	ᱰᱟᱴᱟ
Tongue	ᱟᱞᱟᱝ
Neck	ᱦᱚᱴᱚᱜᱽ
Shoulder	ᱛᱟᱨᱮᱱ
arm	ᱥᱚᱯᱟ
Skin	ᱦᱟᱨᱛᱟ
Hand	ᱛᱤ
Elbow	ᱢᱚᱠᱟ
Palm	ᱛᱤᱷ ᱛᱟᱞᱠᱷᱟ
Finger	ᱠᱟ.ᱴᱩᱵ
Nail	ᱨᱟᱢᱟ
Thumb	ᱮᱸᱜᱟ ᱠᱟ.ᱴᱩᱵ
Panter	ᱩᱫᱩᱜ ᱠᱟ.ᱴᱩᱵ
Middle finger	ᱥᱤᱫ ᱠᱟ.ᱴᱩᱵ
Ring finger	ᱵᱟᱯᱞᱟ ᱠᱟ.ᱴᱩᱵᱽ
Little finger	ᱦᱩᱰᱤᱧ ᱠᱟ.ᱴᱩᱵ
Chest	ᱠᱚᱲᱟᱢ
Lungs	ᱵᱚᱨᱚ
Heart	ᱤᱱ
Navel	ᱵᱩᱠᱟ.
Back	ᱫᱮᱭᱟ
Rump	ᱰᱩᱵᱷᱤ
Stomach	ᱞᱟᱡᱽ
Waist	ᱰᱟᱸᱰᱟ
genital	ᱢᱩᱛᱩ
Buttock	ᱰᱮᱠᱮ
Bone	ᱡᱟᱝ
Meat	ᱡᱤᱞ
Blood	ᱢᱟᱭᱟᱢ
Thigh	ᱵᱩᱞᱩ, ᱫᱷᱟᱲᱟ
Knee	ᱴᱷᱤᱴᱲᱟᱜ, ᱜᱚᱱᱴᱷᱮ
Foot	ᱡᱟᱝᱜᱟ
Heel	ᱤᱲᱤ
Feet	ᱡᱟᱝᱜᱟ ᱛᱷᱚᱯᱮ
Grain	ᱦᱩᱲᱩ
Pickle	ᱟᱪᱟᱨ
Semolina	ᱥᱩᱡᱤ
Flour	ᱚᱴᱟ
Comfit	ᱤᱞᱟ.ᱭᱪᱤ
Coffee	ᱛᱚᱣᱟ ᱨᱮᱭᱟᱜ ᱪᱟᱭ
Milk	ᱛᱚᱣᱟ
Ice-cream	ᱮᱥᱠᱨᱮᱢ
Wheat	ᱜᱩᱦᱩᱢ
Ghee	ᱤᱛᱤᱞ ᱥᱩᱱᱩᱢ
Sauce	ᱪᱚᱴᱱᱤ
Gram	ᱪᱟᱱᱟ/ᱪᱷᱚᱞᱟ
Rice	ᱪᱟᱣᱞᱮ
Tea	ᱪᱟᱭ
Sugar	ᱪᱤᱱᱤ
Cheese	ᱯᱟ.ᱱᱤᱨ
Vegetables	ᱩᱛᱩ
Oil	ᱥᱩᱱᱩᱢ
Pulse	ᱫᱟ.ᱞ
Tomato sauce	ᱵᱤᱞᱟ.ᱛᱤ ᱪᱟᱴᱱᱤ
Ice	ᱵᱚᱨᱚᱯᱷ
Biscuit	ᱵᱤᱥᱠᱩᱴ
Maiz	ᱡᱚᱱᱚᱲᱟ
Meat	ᱡᱤᱞ
Beef	ᱰᱟᱜᱽᱨᱤ ᱡᱤᱞ
Mutton	ᱢᱮᱨᱚᱢ ᱡᱤᱞ
Pork	ᱥᱩᱠᱨᱤ ᱡᱤᱞ
Sugar candy	ᱢᱤᱥᱨᱤ ᱪᱤᱱᱤ
Maida	ᱢᱟᱭᱫᱟ
Mustard	ᱛᱩᱲᱤ
Bread	ᱧᱤᱸᱫᱟ ᱫᱟᱠᱟ
Syrup	ᱥᱚᱨᱵᱚᱛ
Wine	ᱯᱟ.ᱨᱣᱟ
Honey	ᱧᱮᱸᱞᱮᱨᱟᱥᱟ
Mustard oil	ᱛᱩᱲᱤ ᱥᱩᱱᱩᱢ
Apple	ᱥᱮᱣᱚ
Banana	ᱠᱟᱭᱨᱟ
Carrot	ᱟᱨᱟᱜ ᱢᱩᱞᱟ
Cashew	ᱵᱤᱞᱟ.ᱛᱤ ᱥᱷᱚᱥᱷᱚ
Date	ᱠᱷᱟ.ᱡᱩᱨ
Grape	ᱟᱸᱜᱩᱨ
lychee	ᱞᱤᱪᱩ
Mango	ᱩᱞ
Orange	ᱠᱚᱢᱞᱟ, ᱡᱟ.ᱢᱵᱤᱨ
Pomegranate	ᱟᱱᱟᱨ
Tamarind	ᱡᱚᱡᱚ ᱡᱚ
Watermelon	ᱫᱟᱜᱠᱚᱦᱲᱟ
Ice	ᱵᱚᱨᱚᱯᱷ
Pickle	ᱟᱪᱟᱨ
Milk	ᱛᱚᱣᱟ
Sugar	ᱪᱤᱱᱤ
Cheese	ᱯᱚᱱᱤᱨ
Biscuit	ᱵᱤᱥᱠᱩᱴ
Sugar Candy	ᱢᱤᱥᱨᱤ ᱪᱤᱱᱤ
Syrup	ᱥᱚᱨᱵᱚᱛ
Peacock	ᱢᱟᱨᱟᱜ
Parrot	ᱢᱤᱨᱩ
Crow	ᱠᱟ.ᱦᱩ
Pigeon	ᱯᱟᱨᱣᱟ
Myna	ᱠᱤᱥᱱᱤ
Sparrow	ᱞᱮᱴᱠᱟ ᱪᱮᱸᱬᱮ
Eagle	ᱠᱩᱲᱤᱫ
Owl	ᱠᱚᱡᱚᱨ
Cock	ᱥᱤᱢ ᱥᱟ.ᱰᱤ
Hen	ᱥᱤᱢ ᱮᱸᱜᱟ
duck	ᱜᱮᱲᱮ
Swan	ᱢᱟᱨᱟᱝ ᱜᱮᱰᱮ
Vulture	ᱜᱤᱫᱤ
Potato	ᱟ.ᱞᱩ
Cauliflower	ᱵᱟᱦᱟ ᱠᱩᱵᱤ
Cabbage	ᱯᱚᱴᱚᱢ ᱠᱩᱵᱤ
Carrot	ᱜᱟᱡᱚᱨ
Cucumber	ᱛᱟᱦᱮᱨ
Brinjal	ᱰᱮᱸᱜᱟᱲ
Onion	ᱯᱮᱭᱟᱡ
Pea	ᱢᱚᱴᱚᱨ ᱪᱷᱚᱞᱟ
Bitter gourd	ᱠᱟᱨᱞᱟ
Raddish	ᱡᱩᱞᱟ.
Tomato	ᱵᱤᱞᱟ.ᱛᱤ
Bottle gourd	ᱦᱚᱛᱚᱫ
Ginger	ᱚᱫᱟ
Spinach	ᱯᱟᱞᱚᱱ ᱟᱲᱟᱜ
Turnip	ᱟᱨᱟᱜ ᱢᱩᱞᱟ.
Chilli	ᱢᱟ.ᱨᱤᱪ
Lady finger	ᱵᱷᱮᱰᱣᱟ
Mint	ᱯᱩᱫᱱᱟ.
Papaya	ᱡᱟᱲᱟ
Coriender	ᱢᱚᱥᱞᱟ ᱥᱟᱠᱟᱢ
Jack fruit	ᱜᱷᱟᱱᱴᱟᱲ
Panther	ᱪᱤᱛᱟ
Lion	ᱠᱟᱴᱟᱣᱟ ᱛᱟ.ᱨᱩᱵ
Tiger	ᱛᱟ.ᱨᱩᱵ
Boar	ᱵᱤᱨ ᱥᱩᱠᱨᱤ
Bear	ᱵᱟᱱᱟ
Monkey	ᱦᱟ.ᱬᱩ
Gorilla	ᱵᱤᱨᱦᱚᱲ
Elephant	ᱦᱟ.ᱛᱤ
Deer	ᱡᱤᱞ
Rabbit	ᱠᱩᱞᱟ.ᱭ
Fox	ᱛᱩᱭᱩ
Hyena	ᱦᱟᱰᱜᱟᱨ
Fawn	ᱡᱤᱞ ᱦᱤᱡ ᱜᱤᱫᱨᱟ.
Squirrel	ᱛᱩᱲ
Rhinoceros	ᱫᱟᱜ ᱦᱟ.ᱛᱤ
Horse	ᱥᱟᱫᱚᱢ
Cat	ᱯᱩᱥᱤ
Ass	ᱜᱟᱫᱷᱟ
Sheep	ᱵᱷᱤᱰᱤ
Camel	ᱩᱸᱴ
Dog	ᱥᱮᱛᱟ
Bitch	ᱮᱸᱜᱟ ᱥᱮᱛᱟ
Cow	ᱜᱟ.ᱭ
Mare	ᱮᱸᱜᱟ ᱥᱟᱫᱚᱢ
Colt	ᱥᱟᱫᱚᱢ ᱜᱤᱫᱽᱨᱟ.
Mouse	ᱪᱩᱴᱩ
He goat	ᱢᱮᱨᱚᱢ
She goat	ᱮᱸᱜᱟ ᱢᱮᱨᱚᱢ
Kid	ᱢᱮᱨᱚᱢ ᱜᱤᱫᱽᱨᱟ.
Calf	ᱫᱟᱢᱠᱚᱢ
Kitten	ᱯᱩᱥᱤ ᱜᱤᱫᱽᱨᱟ.
Ox	ᱰᱟᱝᱨᱟ
Lamb	ᱵᱷᱤᱰᱤ ᱜᱤᱫᱽᱨᱟ.
Buffalo	ᱠᱟᱲᱟ
Hoond	ᱥᱮᱸᱫᱽᱨᱟ ᱥᱮᱛᱟ
Bull	ᱥᱚᱲᱚ
Pig	ᱥᱩᱠᱨᱤ
Father	ᱵᱟᱵᱟ
Mother	ᱟᱭᱚ
Uncle	ᱠᱟᱠᱟ
Aunt	ᱠᱟ.ᱠᱤ
Grand Father	ᱜᱚᱲᱚᱢ ᱦᱟᱲᱟᱢ
Grand Mother	ᱜᱚᱲᱚᱢ ᱵᱩᱲᱷᱤ
Son in law	ᱡᱟᱶᱟᱭ ᱜᱚᱢᱠᱮ
Friend	ᱜᱟᱛᱮ
Maternal Grandfather	ᱜᱚᱲᱚᱢ ᱦᱚᱲᱟᱢ
Maternal Grandmother	ᱜᱚᱲᱚᱢ ᱵᱩᱲᱷᱤ
Husband	ᱡᱟᱶᱟᱭ
Daughter	ᱵᱤᱴᱤ
Son	ᱵᱮᱴᱟ
Love	ᱫᱩᱞᱟ.ᱲ
Sister	ᱵᱚᱠᱚᱧ ᱠᱩᱲᱤ
Brother	ᱵᱚᱭᱦᱟ
Guest	ᱯᱮᱲᱟ
Teacher	ᱢᱟᱪᱮᱛ
Preceptor	ᱜᱩᱨᱩ
Sister in law	ᱤᱨᱤᱞ ᱠᱩᱲᱤ (ᱥᱟᱞᱤ)
Sister in law	ᱤᱨᱤᱞ ᱠᱩᱲᱤ (ᱱᱱᱚᱫ)
Sister in law	ᱤᱨᱤᱞ ᱠᱩᱲᱤ (ᱫᱮᱣᱨᱟᱱᱤ)
Maternal Uncle	ᱢᱟᱢᱟ
Maternal Aunt	ᱢᱟᱢᱤ
Mother's sister	ᱠᱟ.ᱠᱤ
Pupil	ᱟᱪᱮᱛ
Own	ᱱᱤᱡᱟ.ᱨ
Father in law	ᱦᱚᱧᱦᱟᱨ ᱵᱟᱵᱟ
Mother in law	ᱦᱚᱧᱦᱟᱨ ᱟᱭᱚ
Relative	ᱱᱤᱡᱟ.ᱨ ᱯᱮᱲᱟ
Step Father	ᱠᱟᱴ ᱵᱟᱵᱟ
Step Mother	ᱪᱷᱩᱴᱠᱤ ᱟᱭᱚ
Step Brother	ᱪᱷᱩᱴᱠᱤ ᱵᱚᱠᱚᱧ
Step Sister	ᱪᱷᱩᱴᱠᱤ ᱵᱚᱠᱚᱧ ᱠᱩᱲᱤ
Step Daughter	ᱪᱷᱩᱴᱠᱤ ᱵᱚᱠᱚᱧ ᱮᱨᱟ
Step Son	ᱪᱷᱩᱴᱠᱤ ᱦᱚᱯᱚᱱ
Maternal Sister	ᱦᱤᱞᱤ
