ᱥᱟᱱᱛᱟᱲᱤ	English
ᱤᱧ ᱫᱚ ᱠᱩᱥᱤ ᱟᱢᱟ ᱾	I will like you.
ᱱᱚᱶᱟ ᱵᱟᱹᱫ ᱠᱚ ᱫᱚ ᱤᱧᱟᱜ ᱠᱟᱱᱟ ᱾	These crop fields are mine.
ᱱᱚᱶᱟ ᱟᱡᱟᱜ ᱵᱟᱲᱜᱮ ᱠᱟᱱᱟ ᱾	This is his garden.
ᱤᱧ ᱜᱚ ᱱᱚᱶᱟ ᱵᱟᱲᱜᱮ ᱨᱮ ᱫᱟᱨᱮ ᱨᱚᱦᱚᱭ ᱠᱟᱜᱼᱟᱭ ᱾	My mother planted plants in the garden.
 ᱚᱱᱟ ᱫᱚ ᱦᱚᱯᱚᱱ ᱜᱮ ᱛᱟᱦᱮᱸ ᱠᱟᱱᱟ ᱾	That was small.
ᱟᱢ ᱫᱚ ᱪᱚᱨᱚᱠ ᱟᱢ᱾	You are beautiful.
ᱚᱱᱟ ᱫᱚ ᱢᱟᱨᱟᱝ ᱜᱮ ᱛᱟᱦᱮᱸ ᱠᱟᱱᱟ ᱾	That was big.
ᱟᱭᱳ ᱟᱨᱟᱝ ᱫᱚᱥᱟᱨ ᱥᱮᱨᱢᱟ ᱥᱮᱱᱮᱞᱮᱫ ᱯᱩᱨᱟᱹᱣ ᱮᱱᱟ ᱾	Aryo Arag completed it's second anniversary.
ᱚᱱᱟ ᱫᱚ ᱟᱹᱰᱤ ᱢᱟᱨᱟᱝ ᱜᱮ ᱛᱟᱦᱮᱸ ᱠᱟᱱᱟ ᱾	That was very big.
ᱱᱚᱶᱟ ᱟᱡᱟᱜ ᱚᱲᱟᱜ ᱠᱟᱱᱟ ᱾	This is his house.
ᱚᱱᱟ ᱫᱚ ᱟᱹᱰᱤ ᱦᱚᱯᱚᱱ ᱜᱮ ᱛᱟᱦᱮᱸ ᱠᱟᱱᱟ ᱾	That was very small.
ᱟᱢ ᱪᱮᱞᱠᱟ ᱢᱮᱱᱟᱢᱟ?	How are you.
ᱟᱢ ᱪᱮᱫ ᱮᱢ ᱪᱤᱠᱟᱹᱮᱫᱟᱢ?	What are you doing.
ᱩᱱᱤ ᱵᱟᱵᱮᱨ ᱪᱮᱛᱟᱱ ᱨᱮ ᱫᱚᱱ ᱠᱮᱜᱼᱟᱭ ᱾	He jumped over the rope.
ᱩᱱᱤ ᱵᱟᱹᱞᱤ ᱪᱮᱛᱟᱱ ᱨᱮ ᱫᱚᱱ ᱠᱮᱜᱼᱟᱭ ᱾	She jumped over the rope.
ᱡᱚᱜᱮᱥ ᱵᱟᱵᱮᱨ ᱪᱮᱛᱟᱱ ᱨᱮ ᱫᱚᱱ ᱠᱮᱜᱼᱟᱭ ᱾	Jogesh jumped over the rope.
ᱩᱱᱤ ᱠᱩᱸᱭ ᱨᱮ ᱫᱚᱱ ᱠᱮᱜᱼᱟᱭ ᱾	He jumped into the well.
ᱱᱚᱶᱟ ᱫᱚ ᱤᱧᱟᱜ ᱚᱲᱟᱜ ᱠᱟᱱᱟ ᱾	This is my house.
ᱱᱚᱶᱟ ᱫᱚ ᱤᱧᱟᱜ ᱚᱯᱷᱤᱥ ᱵᱟᱝ ᱠᱟᱱᱟ ᱾	This is not my office.
ᱥᱟᱱᱛᱟᱲᱤ ᱯᱟᱹᱨᱥᱤ ᱫᱚ ᱦᱚᱲ ᱠᱚ ᱨᱚᱲᱼᱟ ᱾	Santali language is spoken by people.
ᱤᱧ ᱦᱚᱴᱮᱞ ᱥᱮᱫ ᱥᱮᱱᱚᱜ ᱠᱟᱹᱱᱟᱹᱧ ᱾	I'm going to hotel.
ᱤᱧ ᱠᱟᱹᱴᱩᱱ ᱧᱮᱞ ᱥᱮᱱᱟᱹᱧ ᱠᱟᱱᱟ ᱾	I want to watch cartoon.
ᱫᱟᱜ ᱢᱟᱹᱲᱤ ᱫᱟᱠᱟ ᱡᱚᱢ ᱠᱟᱛᱮ ᱡᱟᱹᱯᱤᱫ ᱥᱮᱱᱟᱹᱧ ᱠᱟᱱᱟ ᱾	I want to sleep after eating water rice.
ᱟᱡᱟᱜ ᱢᱚᱪᱟ ᱫᱚ ᱦᱮᱸᱫᱮ ᱜᱮᱭᱟ ᱾	His face is black.
ᱢᱚᱵᱟᱭᱤᱞ ᱨᱮ ᱪᱤᱛᱟᱹᱨ ᱥᱟᱺᱪᱟᱣ ᱨᱮᱭᱟᱜ ᱢᱮᱱᱟᱜᱼᱟ ᱾	Have to save picture in my mobile.
ᱞᱚᱜᱚᱱ ᱜᱮ ᱧᱩᱛᱩᱢ ᱵᱚᱫᱚᱞ ᱛᱮ ᱦᱩᱭᱟᱢᱟ ᱾	Have to change the name very fast.
ᱡᱚᱡᱚᱢ ᱛᱤ ᱨᱮ ᱞᱚᱥᱚᱫ ᱞᱟᱴᱷᱟ ᱠᱟᱱᱟ ᱾	Mud stuck to my right hand.
ᱩᱱᱤ ᱪᱷᱟᱛᱚ ᱫᱮᱡ ᱮᱱᱟᱭ᱾	He climbed the roof.
ᱵᱤᱝ ᱡᱩᱛᱟᱹ ᱨᱮ ᱵᱤᱝ ᱵᱚᱞᱚ ᱠᱟᱱᱟᱭ ᱾	Snake is not present in the shoe.
ᱮᱴᱠᱮᱴᱚᱬᱮ ᱵᱩᱡᱷᱟᱹᱣ ᱠᱮᱫ ᱠᱷᱟᱱ ᱡᱩᱛᱟᱹ ᱠᱷᱚᱱ ᱠᱟᱴᱟ ᱚᱰᱚᱠ ᱠᱮᱫ ᱛᱟᱭᱟ ᱾	He removed his shoe when he felt uncomfortable 
ᱩᱱᱤ ᱫᱚ ᱩᱱᱤ ᱵᱟᱭ ᱜᱚᱡ ᱠᱮᱫᱮᱭᱟ ᱾	He didn't kill him.
ᱩᱱᱤ ᱦᱚᱲ ᱵᱤᱨ ᱨᱮ ᱟᱲᱟᱜ ᱠᱮᱫᱮᱭᱟᱭ ᱾	That person left him in the forest.
ᱵᱤᱨ ᱨᱮ ᱫᱚ ᱟᱹᱰᱤᱜᱟᱱ ᱦᱚᱲ ᱚᱲᱟᱜ ᱠᱚ ᱛᱮᱭᱟᱨ ᱠᱟᱣᱱᱟ ᱾	Many people built their home in the foest.
ᱡᱚᱡᱚᱢ ᱛᱤ ᱯᱟᱦᱟᱹᱴᱟ ᱥᱮᱫ ᱜᱟᱰᱟ ᱢᱮᱱᱟᱜᱼᱟ ᱾	Their is a vehicle to the right.
ᱜᱟᱰᱟ ᱨᱮ ᱜᱮᱰᱮ ᱠᱚ ᱯᱟᱭᱨᱟᱜ ᱠᱟᱱ ᱛᱮᱦᱮᱸᱧ ᱾	Ducks were swimming in the river.
ᱜᱟᱰᱟ ᱛᱟᱞᱟ ᱨᱮ ᱢᱟᱨᱟᱝ ᱫᱷᱤᱨᱤ ᱢᱮᱱᱟᱜᱼᱟ ᱾	There is a big rock in the middle of the river.
ᱫᱷᱤᱨᱤ ᱠᱚ ᱟᱹᱰᱤ ᱢᱟᱨᱟᱝ ᱢᱟᱨᱟᱝ ᱜᱮᱭᱟ ᱾	Rocks are very big.
ᱫᱷᱤᱨᱤ ᱪᱮᱛᱟᱱ ᱨᱮ ᱪᱮᱬᱮ ᱫᱩᱲᱩᱵ ᱞᱮᱱᱟᱭ ᱾	Bird was sitting on the rock.ᱟᱵᱚ ᱫᱚ ᱦᱮᱞᱢᱮᱴ
ᱦᱚᱨᱚᱜ ᱠᱟᱛᱮ ᱜᱟᱹᱰᱤ ᱪᱟᱹᱞᱩ ᱠᱟᱛᱷᱟ ᱾	We should wear a helmet while driving a bike.
